area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1160,2,2,28
Super built-up  Area,Ready To Move,Begumganj,2 BHK,DLhtsan,918,2,2,36.66666667
Super built-up  Area,21-Dec,Aditmari,3 BHK,KonteiT,1563,3,2,61.22666667
Super built-up  Area,18-Nov,Govindpura,2 BHK,,1326,2,1,41.44666667
Super built-up  Area,Ready To Move,3Rd Block Jayanagar,3 BHK,,1350,2,2,93.33333333
Super built-up  Area,17-Dec,Alikadam,4 BHK,Cehosy ,3960,5,3,257.3333333
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,,1240,2,2,26.04
Super built-up  Area,Ready To Move,Baraigram,2 BHK,JaaldEm,1325,2,2,33.33333333
Super built-up  Area,Ready To Move,Fulbari,2 BHK,Whosone,1100,2,1,29.33333333
Super built-up  Area,Ready To Move,Kalihati,3 BHK,Lelia M,3875,3,2,533.3333333
Super built-up  Area,Ready To Move,Kaliganj,3 BHK,Mauner ,1605,3,2,33.33333333
Super built-up  Area,Ready To Move,Ashasuni,5 BHK,,5600,5,3,343.3333333
Super built-up  Area,Ready To Move,Daulatpur,2 BHK,Srhts P,1260,2,1,40
Super built-up  Area,19-Dec,Bagerhat Sadar,3 BHK,Caycend,1553,3,2,55.39333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,BMttaor,1280,2,2,34.66666667
Super built-up  Area,Ready To Move,Alikadam,3 BHK,Arade A,1550,2,2,50
Super built-up  Area,Ready To Move,Gowainghat,3 BHK,,1445,2,2,83.33333333
Super built-up  Area,Ready To Move,Joypurhat Sadar,3 BHK,PintsAp,1550,3,2,49.33333333
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,SNdri N,1515,2,1,53.94
Super built-up  Area,19-Mar,Banaripara,3 BHK,Skume R,1332,2,1,57.41333333
Super built-up  Area,Ready To Move,Aditmari,3 BHK,Briumri,1652,3,2,46.66666667
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,Sonosty,1570,3,1,70
Plot  Area,Ready To Move,Adarsha Sadar,4 Bedroom,Adeatlm,5400,4,3,483.3333333
Super built-up  Area,Ready To Move,Hakimpur,1 BHK,DShtsow,794,1,1,40
Plot  Area,Ready To Move,Dimla,3 Bedroom,,1200,2,0,41.33333333
Built-up  Area,Ready To Move,Ashuganj,4 Bedroom,RBRWAyo,3600,3,2,273.3333333
Plot  Area,Ready To Move,Chatmohar,3 Bedroom,,1200,3,2,116.6666667
Super built-up  Area,Ready To Move,Bancharampur,4 BHK,,1650,3,1,146.6666667
Plot  Area,Ready To Move,Chandra Layout,4 Bedroom,,600,2,1,56.66666667
Super built-up  Area,Ready To Move,Ghatail,3 BHK,VDenaWa,2800,3,2,166.6666667
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,SocusHi,1750,3,2,73.33333333
Built-up  Area,Ready To Move,Alikadam,2 BHK,,1053,2,1,32
Super built-up  Area,21-Dec,Agailjhara,3 BHK,PrarePa,1100,3,2,35.33333333
Super built-up  Area,Ready To Move,Kalma Kanda,3 BHK,Srhan P,1665,3,3,46.66666667
Plot  Area,Ready To Move,Outer Ring Road East,4 Bedroom,PrstaTe,4051,4,3,230
Plot  Area,Ready To Move,Barkal,4 Bedroom,,5500,5,1,1000
Built-up  Area,Ready To Move,Charfesson,3 BHK,KBaleoy,1447,3,2,53.33333333
Built-up  Area,Ready To Move,Bhurungamari,2 BHK,Soresea,1012,2,1,50
Super built-up  Area,Ready To Move,Gopalpur,3 BHK,Saestde,1900,3,2,40
Super built-up  Area,Ready To Move,Khoksa,2 BHK,AriosHe,1308,2,2,61.77333333
Super built-up  Area,Ready To Move,Chakaria,4 BHK,,3250,4,,153.3333333
Super built-up  Area,Ready To Move,Bakshiganj,1 BHK,,1351,2,1,35.33333333
Super built-up  Area,Ready To Move,Aditmari,2 BHK,,1000,2,2,14.66666667
Plot  Area,Ready To Move,J P Nagar 7Th Phase Ramayya City,4 Bedroom,,1200,4,2,233.3333333
Super built-up  Area,18-Aug,Fatikchari,2 BHK,BMineis,1140,2,2,32.74
Super built-up  Area,22-May,Bandarban Sadar,4 BHK,SoineC ,2249.81 - 4112.19,4,0,173.6666667
Built-up  Area,Ready To Move,Alfadanga,3 BHK,,1250,2,1,36.66666667
Super built-up  Area,Ready To Move,Borhanuddin,3 BHK,SPavenc,1290,3,3,30.1
Super built-up  Area,Ready To Move,Ukhia,2 BHK,SoechHa,1424,2,2,60
Super built-up  Area,Ready To Move,Godagari,3 BHK,,1320,2,2,40.4
Built-up  Area,Ready To Move,Barguna Sadar,3 BHK,DLhtsnd,1662,3,2,57
Super built-up  Area,Ready To Move,Shanthala Nagar,5 BHK,Kierser,8321,5,3,1800
Super built-up  Area,Ready To Move,Baghaichari,2 BHK,Dhalsh ,1200,2,2,30
Built-up  Area,Ready To Move,Bamna,3 BHK,Jalonht,1975,3,,140
Super built-up  Area,Ready To Move,Godagari,3 BHK,,1295,2,2,39.66666667
Super built-up  Area,Ready To Move,Dohar,3 BHK,PaontWa,1777,3,2,66.66666667
Super built-up  Area,18-Apr,Bochaganj,3 BHK,,1900,3,,72
Super built-up  Area,17-Jul,Delduar,3 BHK,ViensRK,1576,3,2,39.4
Super built-up  Area,Ready To Move,Kawkhali,2 BHK,,1020,2,3,27.33333333
Super built-up  Area,Ready To Move,Green Domain Layout,3 BHK,,2100,3,3,113.3333333
Super built-up  Area,18-Aug,Anwara,1 BHK,Prllsan,648,1,1,21.16666667
Super built-up  Area,Ready To Move,Magura Sadar,3 BHK,AdingSV,1167,2,1,25.33333333
Plot  Area,Ready To Move,Vyalikaval,7 Bedroom,,1000,7,3,106.6666667
Super built-up  Area,Ready To Move,Bagerhat Sadar,2 BHK,,1220,2,2,33.92666667
Super built-up  Area,Ready To Move,Dinajpur Sadar,3 BHK,Leora E,2350,5,1,218
Super built-up  Area,Ready To Move,Bishwamvarpur,2 BHK,,1259,2,1,44.93333333
Built-up  Area,Ready To Move,Bhangura,4 Bedroom,,2000,4,2,54.66666667
Super built-up  Area,Ready To Move,Barura,3 BHK,,1800,3,1,53.33333333
Built-up  Area,Ready To Move,Cleveland Town,3 BHK,Coner C,1991,3,2,106.6666667
Super built-up  Area,Ready To Move,Gopalganj Sadar,3 BHK,,1665,3,3,73.33333333
Built-up  Area,20-Dec,"Hoodi Circle, ",2 BHK,,1234,2,1,40.66666667
Super built-up  Area,Ready To Move,Bhairab,3 BHK,,1340,2,2,42.87333333
Super built-up  Area,Ready To Move,Bakerganj,2 BHK,,1170,2,2,31.19333333
Built-up  Area,Ready To Move,Bagatipara,2 BHK,,995,2,0,30.66666667
Super built-up  Area,Ready To Move,Chougachha,2 BHK,,1075,2,2,40
Super built-up  Area,18-Apr,Aditmari,2 BHK,,1025,2,1,36.33333333
Super built-up  Area,Ready To Move,Bashail,3 BHK,NRodsen,2721,3,2,75.33333333
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Bhmesy ,2000,3,2,66
Super built-up  Area,Ready To Move,Abhaynagar,4 BHK,Sanne E,2500,4,3,103.3333333
Super built-up  Area,Ready To Move,Harinakunda,2 BHK,GMilse ,1325,2,2,46.66666667
Super built-up  Area,18-Apr,Bochaganj,2 BHK,Alestrb,1314,2,3,45.46666667
Super built-up  Area,21-Feb,Agailjhara,3 BHK,,2265,3,2,90.66666667
Built-up  Area,Ready To Move,Ashuganj,7 Bedroom,,4800,7,0,113.3333333
Super built-up  Area,21-Dec,Laxmichhari,2 BHK,,1026,2,1,27.33333333
Built-up  Area,Ready To Move,Syndicate Bank Colony,3 BHK,,1200,3,2,44
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,ARineha,2220,4,2,43.33333333
Super built-up  Area,18-Sep,Badalgachi,2 BHK,MCnexva,1070 - 1315,2,0,34.14666667
Super built-up  Area,18-Dec,Alikadam,2 BHK,Mahosya,1420,2,1,66.26
Super built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,Ceiti I,1888,4,1,63.33333333
Super built-up  Area,18-May,Bancharampur,2 BHK,Shestut,1300,2,1,60.58
Super built-up  Area,18-May,Atwari,2 BHK,Pumesim,1216,2,0,64.77333333
Plot  Area,19-Dec,"Off Sarjapur Road, ",4 Bedroom,,3000,4,3,228
Built-up  Area,Ready To Move,Hizla,3 BHK,,1559,3,2,42
Super built-up  Area,Ready To Move,Bajitpur,2 BHK,Prncyrn,1290,2,1,58
Plot  Area,Ready To Move,M C Layout,6 Bedroom,,2400,6,,163.3333333
Built-up  Area,18-Jun,Abhaynagar,1 BHK,,905,1,1,36.66666667
Built-up  Area,Ready To Move,Nanjappa Layout,2 BHK,AnazaPl,1069,2,,36.66666667
Super built-up  Area,19-Aug,Haimchar,2 BHK,,829,2,1,15.2
Built-up  Area,Ready To Move,Bamna,2 BHK,Proodt ,1900,2,1,133.3333333
Built-up  Area,Ready To Move,Dodda Banaswadi,5 Bedroom,,3040Sq. Meter,5,1,93.33333333
Built-up  Area,Ready To Move,Adarsha Sadar,3 BHK,MJinele,1300,3,2,40
Super built-up  Area,Ready To Move,Chapainawabganj Sadar,2 BHK,Unm 2El,1115,2,1,22.3
Super built-up  Area,Ready To Move,Atwari,3 BHK,PhestOn,2409,3,2,240
Super built-up  Area,Ready To Move,Ukhia,3 BHK,SoechHa,2150,4,2,83.33333333
Super built-up  Area,19-Mar,Amtali,3 BHK,Unezes ,1305,2,1,46
Super built-up  Area,20-Dec,Agailjhara,2 BHK,GolusLi,1252,2,1,37.54666667
Plot  Area,Ready To Move,Chatmohar,5 Bedroom,,2400,5,,166.6666667
Plot  Area,18-Sep,Abhaynagar,2 Bedroom,,1200,2,1,30.75333333
Built-up  Area,Ready To Move,Bamna,3 BHK,,1750,3,1,86.66666667
Super built-up  Area,Ready To Move,Atrai,2 BHK,Assha A,545,1,1,23.33333333
Plot  Area,Ready To Move,Bel Layout,2 Bedroom,,1375,2,1,70
Super built-up  Area,Ready To Move,Birampur,2 BHK,Chllsev,1313,2,2,44.33333333
Plot  Area,Ready To Move,Bogura Sadar,4 Bedroom,,3640,4,1,183.3333333
Super built-up  Area,20-Dec,Akshayanagara East,3 BHK,,1693,3,2,72
Super built-up  Area,Ready To Move,Jcr Layout,2 BHK,ARnamru,1160,2,1,27.83333333
Plot  Area,Ready To Move,Sri Kanteshwara Nagar,3 Bedroom,,1200,3,0,133.3333333
Super built-up  Area,Ready To Move,Birampur,3 BHK,Mayne A,1255,2,2,52.66666667
Plot  Area,Ready To Move,Badalgachi,4 Bedroom,,1000,4,1,50
Built-up  Area,Ready To Move,Bellari Road,2 BHK,Pralmat,900,2,1,30
Super built-up  Area,Ready To Move,Brahmanpara,3 BHK,Cerasy ,1700,3,2,60
Carpet  Area,Ready To Move,Bijoynagar,3 BHK,Gonorir,1875,3,1,120
Carpet  Area,Ready To Move,Alfadanga,3 BHK,Baveles,1700,3,2,58.66666667
Super built-up  Area,Ready To Move,Bajitpur,3 BHK,Prncyrn,1749,3,2,76.66666667
Plot  Area,Ready To Move,Homna,2 Bedroom,,1500,3,1,43.33333333
Super built-up  Area,Ready To Move,Varanasi,2 BHK,,1175,2,1,32
Built-up  Area,Ready To Move,Barguna Sadar,2 BHK,,1280,2,1,40
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,Krllael,1200,2,2,33.33333333
Super built-up  Area,Ready To Move,Bhaluka,3 BHK,DNeremo,1610,2,2,76.66666667
Super built-up  Area,Ready To Move,Aditmari,2 BHK,GMown E,1070,2,1,30.66666667
Plot  Area,Ready To Move,Barishal Sadar,2 Bedroom,,1200,2,0,44
Super built-up  Area,19-Dec,Biswanath,2 BHK,,1127,2,1,33.33333333
Built-up  Area,Ready To Move,Bijoynagar,2 BHK,VKvenas,1210,2,1,68
Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,,600,2,1,15.33333333
Super built-up  Area,Ready To Move,Barhatta,4 BHK,Prtanha,4190,4,3,253.3333333
Super built-up  Area,Ready To Move,Tata Nagar,2 BHK,Shensit,1364,2,2,46.66666667
Super built-up  Area,Ready To Move,Abhaynagar,4 BHK,ArsiaEx,2268,3,0,97.33333333
Super built-up  Area,Ready To Move,Rk Layout 2Nd Stage,3 BHK,,1150,2,2,51.66666667
Super built-up  Area,Ready To Move,Tirumanahalli,2 BHK,,1146,2,1,26.33333333
Built-up  Area,Ready To Move,Digholia,2 BHK,DSellil,1345,2,2,36.66666667
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,27.33333333
Built-up  Area,Ready To Move,Balaganj,2 BHK,VBvenal,750,2,1,24
Built-up  Area,Ready To Move,Motappa Layout,2 BHK,Puodse ,1156,2,2,33
Super built-up  Area,Ready To Move,Kulaura,2 BHK,ARvasV ,1247,2,1,39.86666667
Super built-up  Area,Ready To Move,Langadu,2 BHK,,1058,2,2,40
Super built-up  Area,Ready To Move,Goalanda,2 BHK,Baowsig,950,2,1,32
Super built-up  Area,Ready To Move,Khansama,2 BHK,,420,2,0,23.33333333
Plot  Area,Ready To Move,Btm 1St Stage,4 Bedroom,,600,2,2,60
Super built-up  Area,21-Jun,Boda,3 BHK,Saityat,1520,2,1,68.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,,1215,2,2,39.24
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,,900,1,1,20
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,Samittv,2350,3,2,116
Super built-up  Area,Ready To Move,Ajmiriganj,2 BHK,,1050,2,2,30.66666667
Super built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1672,3,2,100
Plot  Area,Ready To Move,Kashiani,5 Bedroom,,2800,5,2,83.33333333
Super built-up  Area,Ready To Move,Mcechs  Layout,3 BHK,,1500,2,2,43.33333333
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,,1400,2,2,43.33333333
Plot  Area,18-May,Abhaynagar,4 Bedroom,Prtates,500Sq. Yards,4,2,252
Built-up  Area,Ready To Move,Barura,4 Bedroom,,2700,4,2,86.66666667
Super built-up  Area,18-May,Charfesson,2 BHK,SSestth,920,2,1,24.97333333
Plot  Area,18-Feb,Adarsha Sadar,3 Bedroom,Cetattu,1200,3,2,46.66666667
Built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,Mancy R,1250,3,2,92.66666667
Super built-up  Area,18-Mar,Chatmohar,3 BHK,SoageHe,1817,4,,102
Plot  Area,Ready To Move,Itna,5 Bedroom,,2043,6,,250
Super built-up  Area,Ready To Move,Belabo,2 BHK,NRosete,1140,2,2,30.66666667
Built-up  Area,Ready To Move,Laxmichhari,4 Bedroom,,4346,4,1,300
Super built-up  Area,Ready To Move,Atpara,2 BHK,NRowse ,1464,2,2,37.33333333
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468,3,2,86.66666667
Super built-up  Area,Ready To Move,Bagatipara,3 BHK,SNdri N,1555,2,1,54.66666667
Plot  Area,Ready To Move,Satkania,6 Bedroom,,1200,4,2,73.33333333
Built-up  Area,Ready To Move,Abhaynagar,2 BHK,SNadeAr,1150,2,0,36.66666667
Super built-up  Area,19-Oct,Kalma Kanda,2 BHK,,970,2,1,23.33333333
Super built-up  Area,18-May,Bakerganj,4 BHK,,2500,4,3,63.33333333
Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,Mazler ,1166,2,1,35.33333333
Plot  Area,Ready To Move,Kanaighat,3 Bedroom,Prasa W,2779,3,1,211.3333333
Super built-up  Area,Ready To Move,Aditmari,3 BHK,Palleon,1350,3,2,38.66666667
Built-up  Area,Ready To Move,Mariyannapalya,2 BHK,,900,2,3,30.66666667
Super built-up  Area,Ready To Move,Ashuganj,3 BHK,,1300,2,2,34.66666667
Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoersTo,1190,3,1,36.66666667
Super built-up  Area,Ready To Move,Dewanganj,3 BHK,Suntsan,1495,2,2,50
Built-up  Area,Ready To Move,Bijoynagar,2 BHK,Riousd ,1224,2,2,70
Super built-up  Area,Ready To Move,Dhamrai,3 BHK,Mandsi ,1350,2,2,45.33333333
Built-up  Area,Ready To Move,Chakaria,2 BHK,Mazzo P,940,2,1,37.86666667
Super built-up  Area,Ready To Move,Anwara,2 BHK,DwntsAp,1100,2,1,36.66666667
Super built-up  Area,Ready To Move,Guimara,2 BHK,Sheurre,1300,2,2,40.66666667
Built-up  Area,Ready To Move,Palace Road,3 BHK,,1480,2,0,96.66666667
Super built-up  Area,Ready To Move,Bagerhat Sadar,2 BHK,,1105,2,2,30.91333333
Plot  Area,17-Jun,Adarsha Sadar,3 Bedroom,AztheBr,2600,3,2,133.3333333
Super built-up  Area,21-Mar,Laxmichhari,3 BHK,Goues A,1517,3,2,50.86666667
Built-up  Area,Ready To Move,Debiganj,6 Bedroom,,3800,8,0,133.3333333
Super built-up  Area,Ready To Move,Belkuchi,3 BHK,,1615,3,2,59.83333333
Super built-up  Area,Ready To Move,Mcechs  Layout,3 BHK,,1500,3,2,43.33333333
Super built-up  Area,Ready To Move,Bhairab,3 BHK,,1082,3,1,33.66666667
Super built-up  Area,Ready To Move,Amtali,2 BHK,Vaoodar,1365,2,2,48.66666667
Super built-up  Area,Ready To Move,Aditmari,2 BHK,Itelaa ,1000,2,3,16.66666667
Super built-up  Area,Ready To Move,Birganj,2 BHK,Pu270a ,1392,2,1,65.33333333
Super built-up  Area,18-Apr,Kishoreganj Sadar,2 BHK,,1086,2,1,22.44
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,ChionCo,1586,3,3,62.62666667
Built-up  Area,Ready To Move,Bawphal,2 BHK,,1100,2,1,40
Super built-up  Area,18-May,Atrai,2 BHK,Sryalan,1065,2,1,20.5
Plot  Area,Ready To Move,Barishal Sadar,3 Bedroom,,1500,2,1,80
Built-up  Area,Ready To Move,Ashuganj,3 BHK,Eladero,1575,2,2,80
Super built-up  Area,Ready To Move,Ashasuni,3 BHK,,1975,3,3,82
Super built-up  Area,Ready To Move,Nelamangala,2 BHK,,820,2,2,16
Super built-up  Area,Ready To Move,Dhumki,3 BHK,MauilTr,1745,3,2,73.33333333
Super built-up  Area,Ready To Move,Baralekha,2 BHK,SVdhaig,1223,2,1,40
Super built-up  Area,Ready To Move,Daganbhuiyan,3 BHK,,1200,2,1,43.33333333
Super built-up  Area,Ready To Move,Gaffargaon,2 BHK,Niine J,1200,2,0,60
Super built-up  Area,19-Dec,Gabtali,1 BHK,She 2rk,665,1,1,30.72
Super built-up  Area,Ready To Move,Kendua,2 BHK,FoapeWa,1351,2,2,46.66666667
Super built-up  Area,18-Dec,Alikadam,3 BHK,Magiaya,1355,3,1,55.91333333
Built-up  Area,Ready To Move,Kaharole,3 BHK,,3900,3,2,200
Super built-up  Area,18-Nov,Ajmiriganj,3 BHK,,1588,3,1,50.36666667
Carpet  Area,Ready To Move,Durgapur,2 BHK,,900,2,1,40
Plot  Area,Ready To Move,Bhuvaneshwari Nagar,3 Bedroom,,440,3,0,33.33333333
Built-up  Area,18-Feb,Bajitpur,4 Bedroom,,3385,4,,173.3333333
Super built-up  Area,Ready To Move,Bera,3 BHK,Saite G,1370,2,2,50
Plot  Area,18-Dec,Abhaynagar,3 Bedroom,,1500,3,1,47.86666667
Super built-up  Area,Ready To Move,Pulikeshi Nagar,3 BHK,,2280,3,,190
Super built-up  Area,21-Dec,Agailjhara,3 BHK,,1100,3,2,35.33333333
Built-up  Area,Ready To Move,Bagerhat Sadar,2 BHK,Adion M,1247,2,0,35.33333333
Super built-up  Area,19-Dec,Domlur Layout,3 BHK,,2000,3,2,133.3333333
Super built-up  Area,18-Jul,Bhurungamari,2 BHK,Soresea,1020.07,2,1,45.58666667
Super built-up  Area,19-Dec,Gunjur Palya,3 BHK,,1033,2,2,21.33333333
Built-up  Area,Ready To Move,B Narayanapura,3 BHK,Niidet ,1460,2,3,48.66666667
Super built-up  Area,Ready To Move,Godagari,2 BHK,,1150,2,2,35.2
Super built-up  Area,Ready To Move,Adarsha Sadar,5 BHK,Maana E,5965,5,,256.6666667
Super built-up  Area,Ready To Move,Dighinala,2 BHK,,1141,2,1,30.66666667
Super built-up  Area,Ready To Move,Laxmichhari,4 BHK,Niareum,2806 - 3019,6,0,83.66666667
Plot  Area,Ready To Move,Karimganj,4 Bedroom,,4200,4,3,216.6666667
Super built-up  Area,18-Jul,Banaripara,3 BHK,Sosisic,1665,2,3,83.33333333
Super built-up  Area,18-Dec,Borhanuddin,2 BHK,GoityEt,1295,2,2,42.66666667
Super built-up  Area,18-Aug,Atpara,2 BHK,SNnia E,1230,2,1,52
Super built-up  Area,Ready To Move,Anand Nagar,3 BHK,,1080,2,2,50
Super built-up  Area,Ready To Move,Goalanda,2 BHK,Baowsig,1000,2,1,40
Super built-up  Area,Ready To Move,Fulchari,3 BHK,,2400,2,0,33.33333333
Super built-up  Area,19-Dec,Abhaynagar,1 BHK,Goted U,613 - 648,1,0,21.86
Super built-up  Area,18-May,Fulbari,3 BHK,,1708,3,2,50
Super built-up  Area,Ready To Move,Ajmiriganj,3 BHK,Soitya ,1697,3,2,76.66666667
Super built-up  Area,Ready To Move,Abhaynagar,4 BHK,T ZedZe,3537,5,3,140
Super built-up  Area,19-Mar,Banaripara,1 BHK,Skume R,615,1,1,18.86
Built-up  Area,Ready To Move,Bakerganj,3 BHK,Naashi ,1350,2,0,55.33333333
Super built-up  Area,Ready To Move,Agailjhara,3 BHK,Wiowsri,1430 - 1630,,,44.26666667
Super built-up  Area,19-Dec,Belkuchi,2 BHK,DSata S,1083,2,1,21.66
Super built-up  Area,Ready To Move,Bhangura,3 BHK,Srtusi ,1460,2,2,43.33333333
Super built-up  Area,Ready To Move,Dighinala,2 BHK,,1084,2,1,38.66666667
Super built-up  Area,18-May,Charfesson,2 BHK,SSestth,1035,2,1,27.62
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,,2400,2,1,100
Super built-up  Area,Ready To Move,Bhola Sadar,1 BHK,SLiewce,460,1,1,14
Super built-up  Area,Ready To Move,Narayanappa Layout,5 BHK,,950,5,,60
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,Iseenst,1285,2,2,37.26666667
Super built-up  Area,Ready To Move,1Hanuman Nagar,19 BHK,,2000,16,,326.6666667
Plot  Area,Ready To Move,Bagher Para,3 Bedroom,Inensba,1200,3,2,52
Built-up  Area,Ready To Move,Raghuvanahalli,2 BHK,Srncykh,1070,2,1,23.33333333
Super built-up  Area,Ready To Move,Bhandaria,3 BHK,SoitaCa,1801,3,2,93.33333333
Super built-up  Area,18-Dec,Abhaynagar,3 BHK,Prtates,1697,3,2,76.66666667
Super built-up  Area,Ready To Move,Kathalia,2 BHK,CMoryma,1199,2,2,43.33333333
Super built-up  Area,Ready To Move,Doarabazar,3 BHK,Emine P,2300,3,1,146.6666667
Super built-up  Area,Ready To Move,Bhairab,3 BHK,,1340,2,3,42.87333333
Super built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,3800,4,3,136.6666667
Plot  Area,Ready To Move,Begumganj,5 Bedroom,,600,5,,33.33333333
Super built-up  Area,Ready To Move,Wilson Garden,2 BHK,Gonoril,1125,2,1,50
Plot  Area,Ready To Move,Delduar,2 Bedroom,,1200,2,1,44.66666667
Built-up  Area,Ready To Move,Birampur,2 BHK,Srnumum,1050,2,3,27.33333333
Built-up  Area,Ready To Move,Baralekha,2 BHK,Jaiewke,956,2,1,32.66666667
Super built-up  Area,Ready To Move,Bagher Para,2 BHK,Sondaka,1000,2,2,20
Built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1596,3,0,63.33333333
Plot  Area,Ready To Move,Kumbhena Agrahara,6 Bedroom,,1200,5,1,100
Super built-up  Area,19-Jul,Agailjhara,2 BHK,Soazak ,1296,2,3,59.37333333
Plot  Area,Ready To Move,Ns Palya,6 Bedroom,,1200,7,,113.3333333
Built-up  Area,Ready To Move,Challaghatta,3 BHK,ShanaSp,1639,3,3,82
Super built-up  Area,Ready To Move,Atrai,2 BHK,Coomee ,1219,2,1,40.83333333
Built-up  Area,Ready To Move,Alfadanga,3 BHK,,1200,3,1,33.33333333
Super built-up  Area,Ready To Move,Araihazar,2 BHK,,1218,2,1,48.66666667
Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,,920,2,3,24.66666667
Super built-up  Area,Ready To Move,Bagha,3 BHK,IBityin,2559,3,2,94
Super built-up  Area,22-Dec,Kurigram Sadar,1 BHK,,525,1,1,17.33333333
Super built-up  Area,18-Feb,Araihazar,3 BHK,DSnjh S,1427,2,2,32.34
Super built-up  Area,18-Apr,Dhunat,3 BHK,,1270,3,2,30
Built-up  Area,Ready To Move,Bhaluka,2 BHK,SVovelm,920,2,3,43.33333333
Built-up  Area,Ready To Move,Kamalganj,4 Bedroom,,2700,3,2,45.33333333
Super built-up  Area,Ready To Move,Indira Nagar 3Rd Stage,3 BHK,,1740,3,2,132.6666667
Built-up  Area,Ready To Move,Baliakandi,3 BHK,,1355,2,,26.66666667
Super built-up  Area,Ready To Move,Fakirhat,3 BHK,Soiewre,1530,2,2,60
Carpet  Area,Ready To Move,Gokula Extension,3 BHK,,1372,2,1,60
Super built-up  Area,Ready To Move,Kuliarchar,4 BHK,Undge T,2363,5,2,80
Super built-up  Area,Ready To Move,Amtali,4 BHK,PueraRi,3895,4,3,146.6666667
Super built-up  Area,20-Jun,Bandarban Sadar,3 BHK,SoineC ,1950,3,2,87.33333333
Built-up  Area,Ready To Move,Hoysalanagar,2 BHK,PNncysi,885,2,3,26.66666667
Built-up  Area,Ready To Move,Laxmichhari,2 BHK,,600,2,2,18
Plot  Area,Ready To Move,Damudya,5 Bedroom,,1270,4,1,85.33333333
Plot  Area,Ready To Move,Boda,2 Bedroom,,1380,2,0,150
Super built-up  Area,Ready To Move,Agailjhara,2 BHK,PuandHi,1339,2,2,41.33333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,SMuilan,1130,2,1,24
Built-up  Area,Ready To Move,Alfadanga,2 BHK,,1085,2,2,28.66666667
Built-up  Area,Ready To Move,Bagha,3 BHK,IBityin,1430,3,2,48
Carpet  Area,18-Dec,Bhanga,4 BHK,Rosha I,1451.5,4,1,80.66666667
Super built-up  Area,Ready To Move,Lalmai,5 BHK,PeBayle,6200,5,,480
Super built-up  Area,Ready To Move,Ags Layout,3 BHK,,1490,2,1,39.73333333
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 BHK,,1650,4,0,66
Super built-up  Area,Ready To Move,Babuganj,2 BHK,,1286,2,2,38
Built-up  Area,Ready To Move,Kr Garden,2 BHK,Saavear,925,2,2,42
Super built-up  Area,Ready To Move,Babuganj,4 BHK,Sonyxa ,3016,4,3,153.3333333
Built-up  Area,Ready To Move,Atpara,2 BHK,,1000,2,2,29.33333333
Super built-up  Area,Ready To Move,Abhaynagar,2 BHK,SSthamh,1215,2,2,26
Plot  Area,Ready To Move,Kanakadasa Layout,4 Bedroom,,1200,3,1,63.33333333
Super built-up  Area,Ready To Move,Chatkhil,2 BHK,Puarent,1336,2,2,66.66666667
Super built-up  Area,Ready To Move,Bagha,1 BHK,IBityin,673,1,1,24.56666667
Plot  Area,Ready To Move,Delduar,2 Bedroom,,1200,2,1,38.66666667
Plot  Area,Ready To Move,Lingarajapuram,6 Bedroom,,600,7,2,42
Super built-up  Area,Ready To Move,Barkal,3 BHK,,1600,3,3,106.6666667
Plot  Area,Ready To Move,Mallathahalli,2 Bedroom,,1200,2,0,52.66666667
Plot  Area,Ready To Move,Bijoynagar,6 Bedroom,,2480,4,1,500
Super built-up  Area,18-Apr,Jayamahal Extension,3 BHK,,2500,3,,180
